Lemma,poscode,surface
"Tecnosil Industria E Comercio De Materiais De Construca",3,
"Vex Solucoes Ltda - Me",3,
"Acimaq Equipamentos Industriais E Comerciais Ltda",3,
"Blp-maquinas E Equipamentos Ltda",3,
"Usigrav Equipamentos E Gravacoes Ltda - Epp",3,
"Ibf - Trading Importacao E Exportacao Comercial Eireli",3,
"Zm Industria E Comercio De Auto Pecas Ltda",3,
"Aryzta Do Brasil Alimentos Ltda",3,
"Aba Molde Ferramentaria De Moldes Plasticos Ltda - Epp",3,
"Yamaha Musical Do Brasil Ltda",3,
"Nelson Do Brasil Pecas Tubulares E Tubos De Exaustao Lt",3,
"Trd Transporte E Logistica Ltda - Epp",3,
"Juliana Gessner Confeccao - Me",3,
"Ns Industria De Aparelhos Medicos Ltda",3,
"Nitronplast Industria E Comercio Ltda",3,
"Daniel Brambilla Biscaro",3,
"Papieri Embalagens Ltda.  - Me",3,
"Vinicola Geisse Ltda.",3,
"M-braz Equipamentos Para Tratores Ltda",3,
"Maxinutri Laboratorio Nutraceutico - Eireli - Epp",3,
"Geolab Industria Farmaceutica S/a",3,
"Supratec Industria E Comercio Ltda - Me",3,
"Indmec Industria De Maquinas E Equipamentos Ltda - Epp",3,
"Industria Grafica Centenario Ltda",3,
"Honda Access Do Brasil Ltda",3,
"Gbc Foreign Trade Comercial, Exportadora E Importadora",3,
"Hikari - Industria E Comercio De Fusiveis E Auto Pecas",3,
"New Max Industrial Ltda",3,
"Cardoso Industria E Comercio De Plasticos Ltda",3,
"Decor Glass Industria E Comercio Ltda.",3,
"Gf Brasil Importacao E Comercio Ltda",3,
"Fashion Couture Importacao Exportacao Ltda - Me",3,
"Ab Sciex Comercio De Instrumentos Laboratoriais Ltda.",3,
"Empresa Brasileira De Pecas E Acessorios Para Autos Lim",3,
"Dos Energy Vital Performance Estetica E Participacoes L",3,
"Comlink Equipamentos Eletronicos Ltda",3,
"All Beans Brazil Importacao E Exportacao De Graos Ltda",3,
"Engepecas Equipamentos Ltda.",3,
"B.g.m. Industria E Comercio Eireli",3,
"Futura America Latina Industria E Comercio De Maquinas",3,
"Clasomaq - Industria E Comercio De Maquinas Ltda - Epp",3,
"Hm Comercio Importacao E Exportacao Ltda.",3,
"Lindner Techno Systems Eireli",3,
"Carlos Rodrigo Koch - Epp",3,
"Zonta Madeiras Ltda - Epp",3,
"Elebat Alimentos S.a.",3,
"Tabatex Comercio E Representacoes Texteis Ltda",3,
"Novo Tempo Moveis Ltda",3,
"Autentica Distribuidora De Pecas Para Veiculos Automoto",3,
"Meteora Industria E Comercio Ltda - Me",3,
"Gracil Grafite Industrial Ltda",3,
"Capstech Brasil Industria E Comercio Ltda - Me",3,
"Carlos Eduardo Salles Vaz Guimaraes",3,
"Imunolab Imunologia De Transplantes Ltda",3,
"Ardosia Martins Eireli  - Me",3,
"Metal Gypsum Industria E Comercio De Maquinas E Equipam",3,
"D'zainer Produtos Plasticos Ltda",3,
"Bisturi Br Livros Tecnicos Eireli - Me",3,
"Gesher Brasil Eireli - Epp",3,
"Proquitec Industria De Produtos Quimicos E Representaca",3,
"Wallerstein Industrial E Comercial Ltda",3,
"Alkimat Tecnologia Ltda - Epp",3,
"Trs - Industria E Comercio Eireli - Epp",3,
"Peraro Industria De Moveis E Plasticos Ltda",3,
"Microelectron Sistemas Eletronicos Industria E Comercio",3,
"Creative Brazil Ltda - Me",3,
"Rr Donnelley Editora E Grafica Ltda.",3,
"Peter Werner Brill - Me",3,
"Polo Sul Sao Carlos Industria E Comercio De Maquinas Lt",3,
"Rebitop Industria De Rebites E Perfis Em Aluminio Ltda",3,
"Nataniele Calcados Ltda - Epp",3,
"Linhanyl Sul Linhas Para Coser Ltda",3,
"Industrial Busse Maquinas E Implementos Agricolas Ltda",3,
"Lgra Comercio E Importacao Ltda",3,
"Equipamentos Emeb Do Brasil Ltda",3,
"Emeco Equipamentos Industriais Eireli - Epp",3,
"Anacom Equipamentos E Sistemas Ltda",3,
"Lombard - Industria Eletro Mecanica Ltda.",3,
"Fibracem Teleinformatica Ltda",3,
"Siebert Quimica Ltda",3,
"Pazzia Comercio Importacao E Exportacao Ltda",3,
"Masterbor Comercio E Industria De Produtos Quimicos Ltd",3,
"Carrhel Artefatos De Tapecaria Ltda",3,
"J C Pedras Do Brasil Ltda - Me",3,
"Faical Assaad El Ghandour",3,
"Rmc - Industria Brasileira De Produtos Medicos Ltda - E",3,
"Mul T Lock Do Brasil Industria E Comercio Ltda",3,
"Roberto Rodrigues Reppetto - Me",3,
"Comercio De Embalagens R.b. Da Silva Ltda.",3,
"Rcd Equipamentos Blindados Ltda",3,
"Aguia Solucoes Tecnologicas Em Aco Inox Ltda - Me",3,
"Ss Industria E Comercio De Maquinas Para Calcados Ltda",3,
"Miguel Antonio Chacon Reche - Me",3,
"Onildo M De Freitas - Epp",3,
"Puramazon Comercio Exportacao E Importacao Ltda  - Me",3,
"Besserdruck Comercio E Representacao De Pecas Industria",3,
"Cast - Metais E Soldas Ltda.",3,
"Pos Metalicos Especiais Ltda",3,
"Intertelas Industria E Comercio De Telas Ltda - Epp",3,
"Ocean Distributors Comercial De Bebidas Eireli",3,
"Top Tec Industria E Comercio De Espumas Eireli - Epp",3,
"Olga S a Industria E Comercio",3,
"Pierplast Industria E Comercio De Plasticos Ltda",3,
"Restherm Comercio De Produtos Termicos Eireli - Epp",3,
"Skorin - Comercio, Importacao E Exportacao De Ferragens",3,
"Associacao Beneficente Brasileira Israelita Yeshiva Tom",3,
"Oma - Oficina Marilia De Aviacao Ltda",3,
"Andre Ganc",3,
"Drilling Do Brasil Ltda",3,
"Caminhoes Metro-shacman Do Brasil - Comercio E Industri",3,
"Franco Pontillo",3,
"Makingtech Solutions Comercio E Transportes Ltda - Epp",3,
"Engeval Araras-engenharia De Valvulas E Equipamentos Lt",3,
"Thereza De Almeida Goncalves Tourinho",3,
"Benjamin Steinbruch",3,
"A.q E Silva - Me",3,
"Daniel Peres Filho - Epp",3,
