Lemma,poscode,surface
"Atmos Energy",3,
"Pepco Holdings",3,
"Flowserve",3,
"Simon Property Group",3,
"Constellation Brands",3,
"Quad/graphics",3,
"Burlington Stores",3,
"Neiman Marcus Group",3,
"Bemis",3,
"Coach",3,
"Continental Resources",3,
"Ascena Retail Group",3,
"Zoetis",3,
"Orbital Atk",3,
"Frontier Communications",3,
"Levi Strauss",3,
"Spx",3,
"Cf Industries Holdings",3,
"Michaels Cos.",3,
"M&t Bank Corp.",3,
"Rush Enterprises",3,
"Aleris",3,
"Nexeo Solutions Holdings",3,
"Keurig Green Mountain",3,
"Superior Energy Services",3,
"Williams-sonoma",3,
"Robert Half International",3,
"Nvidia",3,
"First American Financial",3,
"Zimmer Holdings",3,
"Mdu Resources Group",3,
"Juniper Networks",3,
"Arthur J. Gallagher",3,
"Colfax",3,
"Cliffs Natural Resources",3,
"Yahoo",3,
"Mastec",3,
"Lam Research",3,
"Axiall",3,
"Intercontinental Exchange",3,
"Cintas",3,
"Coty",3,
"Ca",3,
"Andersons",3,
"Valspar",3,
"Northern Trust",3,
"Intuit",3,
"Tutor Perini",3,
"Polaris Industries",3,
"Hospira",3,
"Fm Global",3,
"Nvr",3,
"Liberty Media",3,
"Energizer Holdings",3,
"Bloomin' Brands",3,
"Avaya",3,
"Westlake Chemical",3,
"Hyatt Hotels",3,
"Mead Johnson Nutrition",3,
"Activision Blizzard",3,
"Protective Life",3,
"Envision Healthcare Holdings",3,
"Fortune Brands Home & Security",3,
"Rpm International",3,
"Vwr",3,
"Lpl Financial Holdings",3,
"Keycorp",3,
"Swift Transportation",3,
"Alpha Natural Resources",3,
"Hasbro",3,
"Resolute Forest Products",3,
"Tiffany",3,
"Mccormick",3,
"Graphic Packaging Holding",3,
"Greif",3,
"Allegheny Technologies",3,
"Securian Financial Group",3,
"B/e Aerospace",3,
"Exelis",3,
"Adobe Systems",3,
"Molson Coors Brewing",3,
"Roundy's",3,
"Cno Financial Group",3,
"Adams Resources & Energy",3,
"Belk",3,
"Chipotle Mexican Grill",3,
"American Tower",3,
"Fmc",3,
"Hillshire Brands",3,
"Amtrust Financial Services",3,
"Brunswick",3,
"Patterson",3,
"Southwestern Energy",3,
"Ametek",3,
"T. Rowe Price",3,
"Torchmark",3,
"Darling Ingredients",3,
"Leggett & Platt",3,
"Watsco",3,
"Crestwood Equity Partners",3,
"Xylem",3,
"Silgan Holdings",3,
"Toll Brothers",3,
"Manitowoc",3,
"Science Applications International",3,
"Carlyle Group",3,
"Timken",3,
"Genesis Energy",3,
"Wpx Energy",3,
"Carefusion",3,
"Pitney Bowes",3,
"Ingles Markets",3,
"Polyone",3,
"Brookdale Senior Living",3,
"Commscope Holding",3,
"Meritor",3,
"Joy Global",3,
"Unified Grocers",3,
"Triumph Group",3,
"Magellan Health",3,
"Sally Beauty Holdings",3,
"Flowers Foods",3,
"Abercrombie & Fitch",3,
"New Jersey Resources",3,
"Fastenal",3,
"Nii Holdings",3,
"Consol Energy",3,
"Usg",3,
"Brink's",3,
"Helmerich & Payne",3,
"Lexmark International",3,
"American Axle & Manufacturing",3,
"Crown Castle International",3,
"Targa Energy",3,
"Oceaneering International",3,
"Cabot",3,
"Cit Group",3,
"Cabela's",3,
"Forest Laboratories",3,
"Dcp Midstream Partners",3,
"Ryerson Holding",3,
"Qep Resources",3,
"Thor Industries",3,
"Hsn",3,
"Graham Holdings",3,
"Electronic Arts",3,
"Boise Cascade",3,
"Hub Group",3,
"Caci International",3,
"Roper Technologies",3,
"Towers Watson",3,
"Smart & Final Stores",3,
"Big Heart Pet Brands",3,
"Fossil Group",3,
"Nasdaq Omx Group",3,
"Country Financial",3,
"Snap-on",3,
"Pinnacle West Capital",3,
"Echostar",3,
"Systemax",3,
"Whitewave Foods",3,
"Cuna Mutual Group",3,
"Cooper Tire & Rubber",3,
"Adt",3,
"Cerner",3,
"Clean Harbors",3,
"First Solar",3,
"Lennox International",3,
"Enable Midstream Partners",3,
"Hubbell",3,
"Unisys",3,
"Alliant Energy",3,
"Health Care Reit",3,
"Moody's",3,
"C.r. Bard",3,
"Urban Outfitters",3,
"Church & Dwight",3,
"American Eagle Outfitters",3,
"Oaktree Capital Group",3,
"Regal Beloit",3,
"Men's Wearhouse",3,
"Cooper-standard Holdings",3,
"W.r. Grace",3,
"Ulta Salon Cosmetics & Fragrance",3,
"Hawaiian Electric Industries",3,
"Skywest",3,
"Green Plains",3,
"Lvb Acquisition",3,
"Nbty",3,
"Carlisle",3,
"United Refining",3,
"Tesla Motors",3,
"Groupon",3,
"Landstar System",3,
"Patterson-uti Energy",3,
"Ep Energy",3,
"On Semiconductor",3,
"Rent-a-center",3,
"Sungard Data Systems",3,
"Citrix Systems",3,
"Amkor Technology",3,
"Td Ameritrade Holding",3,
"Worthington Industries",3,
"Valmont Industries",3,
"Iron Mountain",3,
"Puget Energy",3,
"Cme Group",3,
"Iac/interactivecorp",3,
"Par Petroleum",3,
"Taylor Morrison Home",3,
"Chiquita Brands International",3,
"International Flavors & Fragrances",3,
"Whiting Petroleum",3,
"Under Armour",3,
"Ventas",3,
"Nustar Energy",3,
"Select Medical Holdings",3,
"Diebold",3,
"American National Insurance",3,
"Varian Medical Systems",3,
"Apollo Education Group",3,
"Westinghouse Air Brake Technologies",3,
"Sunpower",3,
"Warner Music Group",3,
"American Water Works",3,
"H&r Block",3,
"Mercury General",3,
"Teco Energy",3,
"Service Corp. International",3,
"Vulcan Materials",3,
"Brown-forman",3,
"Regal Entertainment Group",3,
"Tempur Sealy International",3,
"Steelcase",3,
"Mwi Veterinary Supply",3,
"Radioshack",3,
"Sprouts Farmers Market",3,
"Sabre",3,
"Martin Marietta Materials",3,
"Huntington Bancshares",3,
"Alere",3,
"Treehouse Foods",3,
"Arch Coal",3,
"Kla-tencor",3,
"Crane",3,
"Iasis Healthcare",3,
"Babcock & Wilcox",3,
"Dentsply International",3,
"Tribune Media",3,
"Scansource",3,
"Univision Communications",3,
"Brinker International",3,
"Exterran Holdings",3,
"Carter's",3,
"Analog Devices",3,
"Genesco",3,
"Scotts Miracle-gro",3,
"Convergys",3,
"Exide Technologies",3,
"Wabco Holdings",3,
"Kennametal",3,
"Amerco",3,
"Bon-ton Stores",3,
"Team Health Holdings",3,
"Regeneron Pharmaceuticals",3,
"Springleaf Holdings",3,
"Lincoln Electric Holdings",3,
"Dresser-rand Group",3,
"West",3,
"Benchmark Electronics",3,
"Pall",3,
"Old Dominion Freight Line",3,
"Msc Industrial Direct",3,
"Sentry Insurance Group",3,
"Sigma-aldrich",3,
"Wgl Holdings",3,
"Weis Markets",3,
"Sanderson Farms",3,
"Stancorp Financial Group",3,
"Hyster-yale Materials Handling",3,
"Wolverine World Wide",3,
"Dst Systems",3,
"Legg Mason",3,
"Teradata",3,
"Aaron's",3,
"Antero Resources",3,
"Metaldyne Performance Group",3,
"Range Resources",3,
"Vornado Realty Trust",3,
"Boyd Gaming",3,
"Covance",3,
"Armstrong World Industries",3,
"Cracker Barrel Old Country Store",3,
"Chico's Fas",3,
"Scripps Networks Interactive",3,
"Universal Forest Products",3,
"Concho Resources",3,
"Itt",3,
"Hcc Insurance Holdings",3,
"Moog",3,
"Ims Health Holdings",3,
"Cinemark Holdings",3,
"Comerica",3,
"Equity Residential",3,
"Ryland Group",3,
"Gnc Holdings",3,
"Arcbest",3,
"Vectren",3,
"Curtiss-wright",3,
"Tupperware Brands",3,
"Westar Energy",3,
"Albemarle",3,
"Aptargroup",3,
"Pinnacle Foods",3,
"Penn National Gaming",3,
"J.crew Group",3,
"Vantiv",3,
"Kansas City Southern",3,
"Caleres",3,
"Nu Skin Enterprises",3,
"Great Plains Energy",3,
"Kirby",3,
"General Growth Properties",3,
"Broadridge Financial Solutions",3,
"Stericycle",3,
"Global Payments",3,
"Nortek",3,
"Schnitzer Steel Industries",3,
"Universal",3,
"Ann",3,
"Hologic",3,
"Panera Bread",3,
"Aol",3,
"Sm Energy",3,
"Paychex",3,
"Pricesmart",3,
"Autodesk",3,
"Affiliated Managers Group",3,
"Tops Holding",3,
"Dynegy",3,
"Dsw",3,
"Vishay Intertechnology",3,
"Mettler-toledo International",3,
"Sunedison",3,
"Tetra Tech",3,
"Momentive Performance Materials",3,
"Enersys",3,
"Donaldson",3,
"Eqt",3,
"Monster Beverage",3,
"Pc Connection",3,
"Total System Services",3,
"Servicemaster Global Holdings",3,
"Medical Mutual of Ohio",3,
"Applied Industrial Technologies",3,
"Maxim Integrated Products",3,
"Oge Energy",3,
"A. Schulman",3,
"Equinix",3,
"Mednax",3,
"Equifax",3,
"Standard Pacific",3,
"Denbury Resources",3,
"Cimarex Energy",3,
"Mutual of America Life Insurance",3,
"Guess",3,
"Post Holdings",3,
"Healthsouth",3,
"Ferrellgas Partners",3,
"Kb Home",3,
"Boston Properties",3,
"Trimble Navigation",3,
"Teledyne Technologies",3,
"Acuity Brands",3,
"Skechers U.s.a.",3,
"Xilinx",3,
"Plexus",3,
"Newfield Exploration",3,
"Transdigm Group",3,
"Kar Auction Services",3,
"Mueller Industries",3,
"Zions Bancorp.",3,
"Insperity",3,
"Xpo Logistics",3,
"Sears Hometown & Outlet Stores",3,
"A.o. Smith",3,
"Alliance One International",3,
"Take-two Interactive Software",3,
"Hhgregg",3,
"Rpc",3,
"Newmarket",3,
"Beacon Roofing Supply",3,
"Edwards Lifesciences",3,
"Triple-s Management",3,
"Hawaiian Holdings",3,
"Heartland Payment Systems",3,
"Belden",3,
"Magellan Midstream Partners",3,
"Outerwall",3,
"Kapstone Paper & Packaging",3,
"Alliance Holdings",3,
"Skyworks Solutions",3,
"Ciena",3,
"Granite Construction",3,
"Education Management",3,
"Party City Holdings",3,
"Hcp",3,
"Parexel International",3,
"Delta Tucker Holdings",3,
"Pinnacle Entertainment",3,
"Stifel Financial",3,
"Pool",3,
"Olin",3,
"Knights of Columbus",3,
"Perkinelmer",3,
"Alexion Pharmaceuticals",3,
"Ihs",3,
"Oil States International",3,
"Hni",3,
"Linkedin",3,
"Diplomat Pharmacy",3,
"Brocade Communications Systems",3,
"Greenbrier Cos.",3,
"Amc Networks",3,
"Kemper",3,
"Ocwen Financial",3,
"Public Storage",3,
"Trinet Group",3,
"Chemtura",3,
"Symetra Financial",3,
"Tower International",3,
"Meritage Homes",3,
"Markwest Energy Partners",3,
"Bio-rad Laboratories",3,
"Trueblue",3,
"Cabot Oil & Gas",3,
"Carpenter Technology",3,
"Toro",3,
"American Equity Investment Life Holding",3,
"Express",3,
"Eastman Kodak",3,
"Hain Celestial Group",3,
"Nationstar Mortgage Holdings",3,
"Idex",3,
"Popular",3,
"Werner Enterprises",3,
"Esterline Technologies",3,
"Intuitive Surgical",3,
"Allison Transmission Holdings",3,
"Semgroup",3,
"Southwest Gas",3,
"G-iii Apparel Group",3,
"National Fuel Gas",3,
