name	continent	iso_country	iso_region	municipality	iata_code
West 30th St. Heliport	NA	US	US-NY	New York	JRA
Downtown-Manhattan/Wall St Heliport	NA	US	US-NY	New York	JRB
Broadus Airport	NA	US	US-MT	Broadus	BDX
Eureka Airport	NA	US	US-NV	Eureka	EUE
Jackpot Airport/Hayden Field	NA	US	US-NV	Jackpot	KPT
Rolla Downtown Airport	NA	US	US-MO	Rolla	RLA
Elizabeth Field	NA	US	US-NY	Fishers Island	FID
Humboldt Municipal Airport	NA	US	US-IA	Humboldt	HUD
Jefferson County International Airport	NA	US	US-WA	Port Townsend	TWD
Columbia County Airport	NA	US	US-NY	Hudson	HCC
Grand Canyon West Airport	NA	US	US-AZ	Peach Springs	GCW
Montague-Yreka Rohrer Field	NA	US	US-CA	Montague	ROF
Fremont County Airport	NA	US	US-CO	Cañon City	CNE
Cooperstown-Westville Airport	NA	US	US-NY	Cooperstown	COP
Council Airport	NA	US	US-AK	Council	CIL
Gansner Field	NA	US	US-CA	Quincy	GNF
Chiloquin State Airport	NA	US	US-OR	Chiloquin	CHZ
St. Mary's County Regional Airport	NA	US	US-MD	Leonardtown	LTW
Calverton Executive Airpark	NA	US	US-NY	Calverton	CTO
Grants Pass Airport	NA	US	US-OR	Grants Pass	GTP
Grand Coulee Dam Airport	NA	US	US-WA	Electric City	GCD
Perry-Foley Airport	NA	US	US-FL	Perry	FPY
Salina Gunnison Airport	NA	US	US-UT	Salina	SBO
Central Jersey Regional Airport	NA	US	US-NJ	Manville	JVI
Gold Beach Municipal Airport	NA	US	US-OR	Gold Beach	GOL
Kentland Municipal Airport	NA	US	US-IN	Kentland	KKT
Maverick County Memorial International Airport	NA	US	US-TX	Eagle Pass	EGP
Boulder City Municipal Airport	NA	US	US-NV	Boulder City	BLD
North Fork Valley Airport	NA	US	US-CO	Paonia	WPO
Antlers Municipal Airport	NA	US	US-OK	Antlers	ATE
Wilgrove Air Park	NA	US	US-NC	Charlotte	QWG
Austin Airport	NA	US	US-NV	Austin	ASQ
Apalachicola Regional Airport	NA	US	US-FL	Apalachicola	AAF
Andrau Airpark	NA	US	US-TX	Houston	AAP
Lehigh Valley International Airport	NA	US	US-PA	Allentown	ABE
Abilene Regional Airport	NA	US	US-TX	Abilene	ABI
Albuquerque International Sunport Airport	NA	US	US-NM	Albuquerque	ABQ
Aberdeen Regional Airport	NA	US	US-SD	Aberdeen	ABR
Southwest Georgia Regional Airport	NA	US	US-GA	Albany	ABY
Antrim County Airport	NA	US	US-MI	Bellaire	ACB
Nantucket Memorial Airport	NA	US	US-MA	Nantucket	ACK
Waco Regional Airport	NA	US	US-TX	Waco	ACT
Arcata Airport	NA	US	US-CA	Arcata/Eureka	ACV
Atlantic City International Airport	NA	US	US-NJ	Atlantic City	ACY
Lenawee County Airport	NA	US	US-MI	Adrian	ADG
Ada Municipal Airport	NA	US	US-OK	Ada	ADT
Ardmore Municipal Airport	NA	US	US-OK	Ardmore	ADM
Addison Airport	NA	US	US-TX	Dallas	ADS
Andrews Air Force Base	NA	US	US-MD	Camp Springs	ADW
Kake Seaplane Base	NA	US	US-AK	Kake	KAE
Albert Lea Municipal Airport	NA	US	US-MN	Albert Lea	AEL
Alexandria International Airport	NA	US	US-LA	Alexandria	AEX
USAF Academy Airfield	NA	US	US-CO	Colorado Springs	AFF
Washington County Airport	NA	US	US-PA	Washington	WSG
Jaffrey Airport Silver Ranch Airport	NA	US	US-NH	Jaffrey	AFN
Afton Municipal Airport	NA	US	US-WY	Afton	AFO
Fort Worth Alliance Airport	NA	US	US-TX	Fort Worth	AFW
Allegheny County Airport	NA	US	US-PA	Pittsburgh	AGC
Magnolia Municipal Airport	NA	US	US-AR	Magnolia	AGO
Augusta Regional At Bush Field	NA	US	US-GA	Augusta	AGS
Amedee Army Air Field	NA	US	US-CA	Herlong	AHC
Amery Municipal Airport	NA	US	US-WI	Amery	AHH
Athens Ben Epps Airport	NA	US	US-GA	Athens	AHN
Alliance Municipal Airport	NA	US	US-NE	Alliance	AIA
Anderson Municipal Darlington Field	NA	US	US-IN	Anderson	AID
Aiken Municipal Airport	NA	US	US-SC	Aiken	AIK
Atlantic Municipal Airport	NA	US	US-IA	Atlantic	AIO
George Downer Airport	NA	US	US-AL	Aliceville	AIV
Atlantic City Municipal Bader Field	NA	US	US-NJ	Atlantic City	AIY
Lee C Fine Memorial Airport	NA	US	US-MO	Kaiser Lake Ozark	AIZ
Colorado Plains Regional Airport	NA	US	US-CO	Akron	AKO
Akron Fulton International Airport	NA	US	US-OH	Akron	AKC
Albany International Airport	NA	US	US-NY	Albany	ALB
Alice International Airport	NA	US	US-TX	Alice	ALI
Alamogordo White Sands Regional Airport	NA	US	US-NM	Alamogordo	ALM
St Louis Regional Airport	NA	US	US-IL	Alton/St Louis	ALN
Waterloo Regional Airport	NA	US	US-IA	Waterloo	ALO
San Luis Valley Regional Bergman Field	NA	US	US-CO	Alamosa	ALS
Walla Walla Regional Airport	NA	US	US-WA	Walla Walla	ALW
Thomas C Russell Field	NA	US	US-AL	Alexander City	ALX
Rick Husband Amarillo International Airport	NA	US	US-TX	Amarillo	AMA
Gratiot Community Airport	NA	US	US-MI	Alma	AMN
Ames Municipal Airport	NA	US	US-IA	Ames	AMW
Anniston Metropolitan Airport	NA	US	US-AL	Anniston	ANB
Anderson Regional Airport	NA	US	US-SC	Anderson	AND
Lee Airport	NA	US	US-MD	Annapolis	ANP
Tri State Steuben County Airport	NA	US	US-IN	Angola	ANQ
Ainsworth Municipal Airport	NA	US	US-NE	Ainsworth	ANW
Anthony Municipal Airport	NA	US	US-KS	Anthony	ANY
Lima Allen County Airport	NA	US	US-OH	Lima	AOH
Altoona Blair County Airport	NA	US	US-PA	Altoona	AOO
Centennial Airport	NA	US	US-CO	Denver	APA
Napa County Airport	NA	US	US-CA	Napa	APC
Naples Municipal Airport	NA	US	US-FL	Naples	APF
Phillips Army Air Field	NA	US	US-MD	Aberdeen Proving Grounds(Aberdeen)	APG
A P Hill Aaf (Fort A P Hill) Airport	NA	US	US-VA	Fort A. P. Hill	APH
Alpena County Regional Airport	NA	US	US-MI	Alpena	APN
Marion County Brown Field	NA	US	US-TN	Jasper	APT
Apple Valley Airport	NA	US	US-CA	Apple Valley	APV
Kamulai Airport	OC	PG	PG-CPM	Kamulai Mission	KAQ
Acadiana Regional Airport	NA	US	US-LA	New Iberia	ARA
Ann Arbor Municipal Airport	NA	US	US-MI	Ann Arbor	ARB
Walnut Ridge Regional Airport	NA	US	US-AR	Walnut Ridge	ARG
Wharton Regional Airport	NA	US	US-TX	Wharton	WHT
Aurora Municipal Airport	NA	US	US-IL	Chicago/Aurora	AUZ
Watertown International Airport	NA	US	US-NY	Watertown	ART
Lakeland-Noble F. Lee Memorial field	NA	US	US-WI	Minocqua-Woodruff	ARV
Beaufort County Airport	NA	US	US-SC	Beaufort	BFT
Aspen-Pitkin Co/Sardy Field	NA	US	US-CO	Aspen	ASE
